Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20_z,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2024-12-19,-698,-0.6290572617529135,37.60129659643436,-0.04690357186012325,20.356564019448946,39.09238249594814,0.11377775419180615,24.27876823338736,39.513776337115075,-0.861118426828663,11.312803889789308,-0.9065700103814978,-1.2819303748880575,-0.9702941293406,0.0,1.0,1.0317589868506616,-2.2244304462909343,98.4,0.14751237935802924,0.2590793032979542,0.12584498296875682,-0.33835708146979837,-0.056185486778668525,0.0185278108521858,0.11230033783936388,-3.3227927942240107,0.0,1.0,1.3627061731904533,-1.9635273723044664,99.2,0.11794560370418851,-0.4040851463735565,0.1318653636050081,-0.5517917660138739,-0.04574864970209924,0.027853415702033146,0.16970752020212498,-3.98448786885972
2024-12-20,-1775,-1.6479472561142274,25.964343598055105,-0.7857796650152054,5.575364667747163,31.701782820097247,-0.4791260199789527,15.105348460291737,35.3646677471637,-1.5511169660370205,5.283630470016213,-1.7020876743634845,-1.0301715876155206,-0.9453342419092594,0.0,0.0,1.0184524796595706,-2.6005051970682747,98.0,0.13342694971312044,0.019055574088222494,0.12996324618657495,-0.227902370700014,-0.07193556763902764,0.0008698603980141772,0.08913390562479528,-3.738649387116215,0.0,1.0,1.3585183937848688,-2.360861394977451,99.2,0.12579662608448314,-0.28802679013813814,0.1379501747609163,-0.3963398441531234,-0.06190400005953023,0.004149889880561197,0.14760474930895784,-4.230467062919589
2024-12-23,-607,-0.4551763041932816,22.949756888168558,-0.9735745103491292,-5.6726094003241485,30.243111831442466,-0.5933527064487062,10.664505672609401,34.6839546191248,-1.6458514929217423,2.4635332252836335,-1.6627897249569459,-1.1057603194837218,-0.8002718131733455,0.0,0.0,0.9977472249856012,-2.3709603712549976,97.6,0.12670601144669477,-0.09580949019127744,0.1311940336453574,-0.19585769659539073,-0.07900057966069496,0.01073779525213725,0.11544099889788273,-3.0226418010231666,0.0,1.0,1.34581909599516,-2.2508236387368235,99.2,0.11457549397104481,-0.45558133425065206,0.13833299117557282,-0.388854357806544,-0.07177022962365187,0.010841255891987034,0.1656689264164377,-3.7055672546429705
2024-12-24,-2,0.15464414342674287,22.690437601296594,-0.9847110880161714,-8.978930307941656,30.14586709886548,-0.5976140679863983,9.076175040518642,35.49432739059968,-1.491320591834753,2.3014586709886586,-1.448005775587302,-1.2076863594907794,-0.9613930804805888,0.0,0.0,0.9745077699672811,-2.361811434431613,97.2,0.1267053790558665,-0.0977949992867143,0.13119172113980493,-0.19730396562565156,-0.08525370050175307,0.008063608188513482,0.12642939213740778,-2.7005428861910263,0.0,1.0,1.3296488223224046,-2.2251067215909117,99.2,0.1145243021891536,-0.45619904581720894,0.13828411134343632,-0.39266033102931225,-0.07900886733936141,0.008256986757737783,0.17946906714540434,-3.319781602069794
2024-12-26,-559,-0.3951880982526888,20.907617504051863,-1.0920807316658012,-17.050243111831442,29.108589951377635,-0.6776854785850758,4.9270664505672634,34.91085899513776,-1.5702888728997453,0.0,-1.570262366087095,-1.3452210494080277,-1.0001739015997768,0.0,0.0,0.9528449829723673,-2.3008085643045213,96.8,0.1259179932666795,-0.11317515082250233,0.13013309063741996,-0.2273240257438126,-0.08443200567454634,0.001218314341962845,0.14129661197713395,-2.3153968922328336,0.0,1.0,1.3149134101403614,-2.1780879029578015,99.2,0.11212472468108597,-0.49203834062363627,0.13772527175720833,-0.4096320121082928,-0.07860794265858939,0.0056189814355207535,0.2056415238723448,-2.749190798435343
2024-12-27,-49,0.11557458588472795,20.615883306320907,-1.1062006158223159,-19.870340356564025,30.04862236628849,-0.601163947548264,4.343598055105346,35.20259319286872,-1.5034940068244724,-0.4213938411669389,-1.3373219608421398,-1.3374747066579589,-1.0129189704408312,0.0,0.0,0.9413080335848312,-2.1996384301588856,96.39999999999999,0.1152412648350892,-0.2942703950972695,0.1303480586184825,-0.22280604782451294,-0.08424616840004384,-0.0023210215846627413,0.1393757437899148,-2.3142880591467625,0.0,1.0,1.3073589372964545,-2.1355495788845364,99.2,0.10929745971678786,-0.53399012858356,0.1377299022461303,-0.41207300493532295,-0.07716284269208784,0.0033413568125673088,0.201080315704391,-2.7676058066856
2024-12-30,-1050,-0.8622994338341997,18.73581847649919,-1.2232064823534368,-25.510534846029174,27.84440842787682,-0.777871839286487,-0.2269043760129712,33.646677471636956,-1.73991659321586,-2.9821717990275474,-1.6153929765702253,-1.1649708589821581,-0.8863533269719254,0.0,0.0,0.9145650854980536,-2.3455214389511356,96.0,0.1122704585946696,-0.3460483463340837,0.13095554618005253,-0.2079041235022573,-0.09807541563278976,-0.016619185260662417,0.11877961052740138,-2.707368717147329,0.0,1.0,1.2914575318491606,-2.193769299275705,99.2,0.10611853476108052,-0.5811066823905503,0.13787943948887924,-0.4109208258483084,-0.08541009092193896,-0.0047518208740984225,0.18590312586683944,-2.96607467964851
2024-12-31,596,0.7460994241166575,20.356564019448946,-1.11979890449795,-30.405186385737444,30.567260940032416,-0.5607306313093998,-0.5834683954619102,33.90599675850892,-1.6753234022079648,-4.31118314424635,-1.1727137350173025,-1.3191661429604336,-0.9784329112269476,0.0,0.0,0.8857213987350177,-2.3084407331254373,95.6,0.10928566981865175,-0.3978566812601615,0.1297424147708023,-0.2424097032635134,-0.096801055810107,-0.01523493790242636,0.1229188010663963,-2.5593179434755124,0.0,1.0,1.270572641218659,-2.1431238866046836,99.2,0.10283057605913956,-0.629525296812893,0.13540260302667717,-0.4775218036820488,-0.0841878250783813,-0.004781749001504743,0.18778811423481157,-2.857148368259148
2025-01-01,1207,1.3088552678364216,26.158833063209073,-0.7607543354554283,-33.160453808752024,35.235008103727715,-0.19201250886310717,-0.9076175040518635,35.753646677471636,-1.3587834745747136,-4.505672609400321,-0.5477066771560041,-1.2733660521203338,-0.9404503454520676,0.0,0.0,0.8549753254086578,-2.172710400853751,95.19999999999999,0.10637594104347554,-0.4482394721828036,0.12973012538300685,-0.2441018406923385,-0.08011940714854404,-0.016529319296908485,0.1183911647688336,-2.597895049563563,0.0,1.0,1.244546277826064,-2.0179524662232784,99.2,0.09960609550503935,-0.6779412555159742,0.13584280810513358,-0.46835521225147947,-0.0705752746810333,-0.007713438341337309,0.18649052842016256,-2.8073960812878895
2025-01-02,717,0.7913332037108709,31.3452188006483,-0.44303428718725896,-29.62722852512155,39.05996758508914,0.10775479176968476,-0.6158833063209102,37.60129659643436,-1.0515600172411537,-3.6628849270664503,-0.5302383278076939,-1.258124849364641,-0.9508521438387082,1.0,1.0,0.8360965141222199,-1.689158824606771,95.19999999999999,0.12805261145379393,-0.08525659241426457,0.1368196889887083,-0.05344411925000108,-0.0623427621148277,0.0026861384065977045,0.1216346680770588,-2.479095505275797,1.0,1.0,1.2295687529987775,-1.7082961381329351,99.2,0.1133275696952982,-0.4741931018156088,0.13911192952070983,-0.38598611864784277,-0.05808083577332068,0.008946995414909509,0.19151645116627092,-2.6578434495414656
