Date,ad_z_50,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20_z,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
1995-03-31,0.458951899544524,,-0.5186385737439221,,0.0972447325769854,,0.0,,,,,,,,,,,,,,,
1995-04-03,-0.03161247642470071,,-0.42139384116693673,,0.12965964343598055,,0.0,,,,,,,,,,,,,,,
1995-04-04,0.7359116307382603,,-0.3889789303079416,,0.22690437601296598,,0.0,,,,,,,,,,,,,,,
1995-04-05,2.684304156212007,,0.06482982171799023,,0.2917341977309562,,0.0,,,,,,,,,,,,,,,
1995-04-06,1.0525899818953963,,0.03241491085899506,,0.3565640194489465,,0.0,,,,,,,,,,,,,,,
1995-04-07,-0.25503587870713024,,-0.03241491085899517,,0.2917341977309562,,0.0,,,,,,,,,,,,,,,
1995-04-10,-1.4221603080308332,,-0.19448946515397092,,0.2917341977309562,,0.0,,,,,,,,,,,,,,,
1995-04-11,-1.1392896743161354,,0.06482982171799034,,0.22690437601296598,,0.0,,,,,,,,,,,,,,,
1995-04-12,1.1012386786359967,,0.09724473257698552,,0.0972447325769854,,0.0,,,,,,,,,,,,,,,
1995-04-17,-0.4262930380931949,,-0.16207455429497564,,0.19448946515397084,,0.0,,,,,,,,,,,,,,,
1995-04-18,-1.839981212599661,,-0.03241491085899506,,0.1620745542949757,,0.0,,,,,,,,,,,,,,,
1995-04-19,-0.6661480076438397,,0.0,,0.1620745542949757,,0.0,,,,,,,,,,,,,,,
1995-04-20,-1.6905684065199866,,0.12965964343598052,,0.09724473257698542,,0.0,,,,,,,,,,,,,,,
1995-04-21,-0.3956399403603744,,0.09724473257698552,,0.09724473257698542,,0.0,,,,,,,,,,,,,,,
1995-04-24,-1.2504372059391566,,-0.032414910858995116,,0.09724473257698542,,0.0,,,,,,,,,,,,,,,
1995-04-25,-1.5731741736056104,,-0.032414910858995116,,0.0972447325769854,,0.0,,,,,,,,,,,,,,,
1995-04-26,-0.020382330770300355,,0.0,,0.12965964343598055,,0.0,,,,,,,,,,,,,,,
1995-04-27,-1.4949499754973155,,-0.09724473257698542,,0.03241491085899514,,0.0,,,,,,,,,,,,,,,
