Date,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_dist_200_z,nifty50_persistence_200,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_50,nifty50_vol_50_z,nifty50_mom_63,nifty50_mom_126,nifty50_mom_12_1,nifty50_mom_12_1_z,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_mom_63,nifty_total_mom_126,nifty_total_mom_12_1,nifty_total_mom_12_1_z
2007-05-16,241,0.9968421457817418,13.095623987034037,0.769566187068814,-3.6628849270664485,14.651539708265801,1.2356840179250435,5.348460291734197,8.427876823338735,0.8731119396642736,1.1021069692058347,1.173588336957609,0.35076858527551774,-1.1081852270937111,0.42949502247599713,-0.1359051815887092,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-17,-3,-0.03572983295704559,13.19286871961102,0.7844052868108092,-3.1442463533225293,14.846029173419772,1.2734099413196396,5.6726094003241485,8.46029173419773,0.8871286377404252,1.4910858995137755,1.0833486943655055,0.3491859912049977,-1.1365156428829715,0.42535461483841924,-0.19049294870694608,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-18,-126,-0.6338566583058115,12.382495948136143,0.5840064846277759,-3.7277147487844395,14.424635332252835,1.157991274947988,4.635332252836303,8.26580226904376,0.7768596442115148,1.4262560777957871,0.7783974367372748,0.3470147573535718,-1.1789089597751305,0.39799885357665427,-0.65063687715045,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-21,74,0.25887999481522384,12.965964343598054,0.7158324481934939,-2.9173419773095617,14.781199351701781,1.2350651066007878,4.991896272285249,8.589951377633712,0.9499213574374016,1.5235008103727719,1.0359729872403582,0.34891686719099024,-1.1197633860548006,0.3983349334807978,-0.6442452267183989,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-22,-81,-0.4784770542674371,12.350081037277146,0.5622384677170313,-4.084278768233389,14.748784440842789,1.2148969959751672,3.6952998379254467,8.427876823338735,0.8551083351388311,1.0696920583468392,1.326349249451473,0.3509850894092694,-1.0572513489550175,0.3940051554716062,-0.7221493092114755,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-23,-220,-1.0848260857046186,11.572123176661265,0.3713728780747529,-4.3111831442463515,13.970826580226905,1.0103495507170221,2.593192868719612,8.233387358184766,0.7395723370305416,0.7779578606158841,0.8050926175767278,0.35590926334310324,-0.9246502662625241,0.39035714291033746,-0.7910818200326121,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-24,-207,-1.0012025054753815,10.664505672609401,0.15042307992412343,-5.251215559157213,13.646677471636954,0.9198997146719853,1.5883306320907629,8.20097244732577,0.7152637333190545,0.7131280388978931,0.41159787443100776,0.3558201242073215,-0.9176625637023257,0.38878780800910795,-0.823881301953487,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-25,57,0.23818555796902716,10.891410048622365,0.20255479373242688,-5.478119935170177,13.743922204213938,0.9348867824139752,0.6158833063209084,8.168557536466775,0.6900368812731792,0.5510534846029174,0.7983509340108621,0.3559780190372317,-0.9046510220519678,0.38833279461813425,-0.8363124457006722,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-28,101,0.47443280412409655,12.058346839546191,0.4801199827752408,-3.241491085899515,14.13290113452188,1.0221554840723432,1.6855753646677485,8.46029173419773,0.8558615115255176,0.6482982171799021,0.8800474554741915,0.3494204858285633,-1.0582527066172651,0.38756662225519156,-0.8560896850815493,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-29,91,0.3943747161474239,12.86871961102107,0.6701961837757405,-1.1021069692058347,14.294975688816855,1.0521342612554678,2.1393841166936785,8.752025931928689,1.0250393043435653,1.4910858995137772,0.9172215213404493,0.3441510146886692,-1.1780857245741627,0.3826081797371005,-0.9701934717400333,,,,,,,,,,,,,,,,,,,,,,,,,,
