Date,adv,dec,ad,ad_z_50,pct_above_20dma,pct_above_20dma_z,pct_above_20dma_chg,pct_above_50dma,pct_above_50dma_z,pct_above_50dma_chg,pct_above_200dma,pct_above_200dma_z,pct_above_200dma_chg,nh,nl,nhnl,nhnl_z,median_stock_vol_20,median_stock_vol_20_z,median_stock_vol_50,median_stock_vol_50_z,nifty50_dist_200_z,nifty50_dma200_slope_pct,nifty50_persistence_200,nifty50_vol_20_z,nifty50_vol_50_z,nifty50_mom_126,nifty_total_dist_200_z,nifty_total_dma200_slope_pct,nifty_total_persistence_200,nifty_total_vol_20_z,nifty_total_vol_50_z,nifty_total_mom_126
1995-02-09,21,38,-17,,9.375,,9.375,0.0,,0.0,0.0,,0.0,0,0,0,,0.3696210940425121,,,,,,,,,,,,,,,
1995-02-10,23,47,-24,,5.681818181818182,,5.681818181818182,0.0,,0.0,0.0,,0.0,0,0,0,,0.3712853057645681,,,,,,,,,,,,,,,
1995-02-13,13,50,-37,,4.395604395604396,,4.395604395604396,0.0,,0.0,0.0,,0.0,0,0,0,,0.3504698851897432,,,,,,,,,,,,,,,
1995-02-14,29,39,-10,,5.1020408163265305,,5.1020408163265305,0.0,,0.0,0.0,,0.0,0,0,0,,0.35912177762597547,,,,,,,,,,,,,,,
1995-02-15,27,43,-16,,3.260869565217391,,3.260869565217391,0.0,,0.0,0.0,,0.0,0,0,0,,0.367260273109057,,,,,,,,,,,,,,,
1995-02-16,23,51,-28,,1.0,,1.0,0.0,,0.0,0.0,,0.0,0,0,0,,0.3620602960605201,,,,,,,,,,,,,,,
1995-02-17,16,53,-37,,1.0752688172043012,,1.0752688172043012,0.0,,0.0,0.0,,0.0,0,0,0,,0.38005502542488256,,,,,,,,,,,,,,,
1995-02-20,13,54,-41,,1.0204081632653061,,1.0204081632653061,0.0,,0.0,0.0,,0.0,0,0,0,,0.36967337124426825,,,,,,,,,,,,,,,
1995-02-21,13,64,-51,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0,0,0,,0.38964710978612327,,,,,,,,,,,,,,,
1995-02-22,32,43,-11,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0,0,0,,0.36345994858710395,,,,,,,,,,,,,,,
1995-02-23,63,10,53,,7.291666666666667,,7.291666666666667,0.0,,0.0,0.0,,0.0,0,0,0,,0.4645580400614597,,,,,,,,,,,,,,,
1995-02-24,64,10,54,,11.224489795918368,,11.224489795918368,0.0,,0.0,0.0,,0.0,0,0,0,,0.47155905404295845,,,,,,,,,,,,,,,
1995-02-28,28,48,-20,,13.131313131313133,,8.905961018637077,0.0,,0.0,0.0,,0.0,0,0,0,,0.45073343216415496,,,,,,,,,,,,,,,
1995-03-01,61,18,43,,15.841584158415841,,10.90331255347757,0.0,,0.0,0.0,,0.0,0,0,0,,0.4879188990109522,,,,,,,,,,,,,,,
1995-03-02,51,28,23,,20.588235294117645,,12.480127186009536,0.0,,0.0,0.0,,0.0,0,0,0,,0.4810739829627625,,,,,,,,,,,,,,,
1995-03-03,53,21,32,,22.82608695652174,,9.127456819535437,0.0,,0.0,0.0,,0.0,0,0,0,,0.4921595632912299,,,,,,,,,,,,,,,
1995-03-06,35,40,-5,,23.52941176470588,,9.779411764705879,0.0,,0.0,0.0,,0.0,0,0,0,,0.5064587114125706,,,,,,,,,,,,,,,
1995-03-07,30,53,-23,,20.18348623853211,,6.669972725018598,0.0,,0.0,0.0,,0.0,0,0,0,,0.5090370259997756,,,,,,,,,,,,,,,
1995-03-08,37,44,-7,,26.262626262626267,,19.44444444444445,0.0,,0.0,0.0,,0.0,0,0,0,,0.474459973478665,,,,,,,,,,,,,,,
1995-03-09,39,35,4,,27.184466019417474,,17.07210646885568,0.0,,0.0,0.0,,0.0,0,0,0,,0.49068518700847585,,,,,,,,,,,,,,,
1995-03-10,49,36,13,,24.778761061946902,,15.403761061946902,0.0,,0.0,0.0,,0.0,0,0,0,,0.5179723650844987,,,,,,,,,,,,,,,
1995-03-13,8,70,-62,,19.318181818181817,,13.636363636363635,0.0,,0.0,0.0,,0.0,0,0,0,,0.5140275561147905,,,,,,,,,,,,,,,
1995-03-14,48,20,28,1.3179392856593901,23.52941176470588,,19.133807369101483,6.862745098039216,,6.862745098039216,0.0,,0.0,0,0,0,,0.5241088752522638,,,,,,,,,,,,,,,
1995-03-15,47,33,14,0.7576291443530279,24.752475247524753,,19.65043443119822,3.9603960396039604,,3.9603960396039604,0.0,,0.0,0,0,0,,0.5296546988269898,,0.4046142590044482,,,,,,,,,,,,,
1995-03-16,10,45,-35,-1.1021348687301615,23.28767123287671,,20.02680166765932,4.10958904109589,,4.10958904109589,0.0,,0.0,0,0,0,,0.5520432831039838,,0.41941111940305337,,,,,,,,,,,,,
1995-03-20,16,42,-26,-0.7399718787221383,14.772727272727273,,13.772727272727273,2.272727272727273,,2.272727272727273,0.0,,0.0,0,0,0,,0.5511923029472569,,0.4143174746931254,,,,,,,,,,,,,
1995-03-21,16,64,-48,-1.5384974295364806,7.766990291262135,,6.691721474057834,1.9417475728155338,,1.9417475728155338,0.0,,0.0,0,0,0,,0.5563715914253285,,0.4162076795378407,,,,,,,,,,,,,
1995-03-22,48,21,27,1.2185601263105634,13.333333333333334,,12.312925170068027,2.2222222222222223,,2.2222222222222223,0.0,,0.0,0,0,0,,0.5577982981721554,,0.44431277098274524,,,,,,,,,,,,,
1995-03-23,31,36,-5,0.020810382507137796,11.827956989247312,,11.827956989247312,2.1505376344086025,,2.1505376344086025,0.0,,0.0,0,0,0,,0.5516926267756544,,0.43653830670514115,,,,,,,,,,,,,
1995-03-24,37,36,1,0.22195784899761278,10.227272727272728,,10.227272727272728,1.1363636363636365,,1.1363636363636365,0.0,,0.0,0,0,0,,0.5368435741878448,,0.4118072553886275,,,,,,,,,,,,,
1995-03-27,28,40,-12,-0.25780461604889654,5.154639175257731,,-2.1370274914089356,1.0309278350515463,,1.0309278350515463,0.0,,0.0,0,0,0,,0.5283706786053488,,0.415434199220504,,,,,,,,,,,,,
1995-03-28,50,33,17,0.8061334041194369,4.504504504504505,,-6.719985291413863,0.9009009009009009,,0.9009009009009009,0.0,,0.0,0,0,0,,0.5226735746296741,,0.42248882021873796,,,,,,,,,,,,,
1995-03-29,63,24,39,1.5565541394636055,6.796116504854369,,-6.335196626458765,3.8834951456310676,,3.8834951456310676,0.0,,0.0,0,0,0,,0.5154787482005261,,0.43062319653460357,,,,,,,,,,,,,
1995-03-30,29,48,-19,-0.5222046058629798,2.803738317757009,,-13.037845840658832,3.7383177570093453,,3.7383177570093453,0.0,,0.0,0,0,0,,0.5080005824689116,,0.4273244356223993,,,,,,,,,,,,,
1995-03-31,46,38,8,0.458951899544524,4.672897196261682,,-15.915338097855962,2.803738317757009,,2.803738317757009,0.0,,0.0,0,0,0,,0.5024211300359199,,0.4516686309174912,,,,,,,,,,,,,
1995-04-03,39,45,-6,-0.03161247642470071,7.6923076923076925,,-15.133779264214045,3.8461538461538463,,3.8461538461538463,0.0,,0.0,0,0,0,,0.4780156920506268,,0.4333114749338353,,,,,,,,,,,,,
1995-04-04,50,35,15,0.7359116307382603,10.714285714285714,,-12.815126050420167,6.25,,6.25,0.0,,0.0,0,0,0,,0.4839192449914073,,0.4310347103929506,,,,,,,,,,,,,
