Date,advances,declines,ad,ad_ma_50,ad_z_50,ad_ma_200,ad_z_200,ad_pct,pct_above_20dma,pct_above_50dma,pct_above_200dma,new_highs,new_lows,nh_pct,nl_pct,nhnl_net,nhnl_z,pct_high_volatility,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_trend_bias,nifty50_dist_200_z,nifty50_persistence_200,nifty50_hh_ll_ratio,nifty50_ad_divergence,nifty50_nhnl_divergence,nifty50_dma_rollover,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_20_pct,nifty50_vol_50,nifty50_vol_50_z,nifty50_vol_50_pct,nifty50_vol_200,nifty50_vol_200_z,nifty50_vol_200_pct,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_trend_bias,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_hh_ll_ratio,nifty_total_ad_divergence,nifty_total_nhnl_divergence,nifty_total_dma_rollover,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_20_pct,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_vol_50_pct,nifty_total_vol_200,nifty_total_vol_200_z,nifty_total_vol_200_pct
2013-06-05,452,461,-9,-36.78,0.10531858697876399,-73.9,0.2260757042071863,0.5128506196999347,24.748490945674046,33.601609657947684,0.0,0,0,0.0,0.0,0.0,-0.3710495724078559,1.0060362173038229,1.0,1.0,1.4542637433027306,uptrend,,46.800000000000004,3.0,0.0,0.0,0.0,0.1843423183358865,2.0570304388347527,0.8445229681978799,0.1624000387731606,1.8904901351488366,0.7344028520499108,0.1294375162598436,,0.30970149253731344,,,,,,,,,,,,,,,,,,,
2013-06-06,435,473,-38,-29.72,-0.03199709598675884,-73.54,0.12380185523250348,0.450880626223092,25.519287833827892,33.92680514342236,0.0,0,0,0.0,0.0,0.0,-0.3761502471948898,0.9891196834817012,1.0,1.0,1.4251064915511424,uptrend,,47.199999999999996,3.0,0.0,0.0,0.0,0.18169173850952938,1.9440220465905436,0.8356890459363958,0.162349424087137,1.86809857720445,0.7341057635175282,0.12937351471223488,,0.3087686567164179,,,,,,,,,,,,,,,,,,,
2013-06-07,359,564,-205,-28.36,-0.6855943968357509,-75.21,-0.4524524422321231,0.2395955642530985,24.557956777996072,32.711198428290764,0.0,0,0,0.0,0.0,0.0,-0.37391170803784585,0.9823182711198428,0.0,1.0,1.3933976448020413,uptrend,,47.599999999999994,2.0,0.0,0.0,0.0,0.18216739283083086,1.9345315654049986,0.8368669022379269,0.16304423887204708,1.879433350523361,0.7370766488413547,0.12963557364014872,,0.3137437810945274,,,,,,,,,,,,,,,,,,,
2013-06-10,283,640,-357,-33.34,-1.2372700921672677,-76.52,-0.9754227404924602,0.1574037834311807,23.984142715559962,29.633300297324084,0.0,0,0,0.0,0.0,0.0,-0.37505440162589065,0.9910802775024776,0.0,1.0,1.3645990628995408,uptrend,,48.0,1.0,1.0,0.0,0.0,0.16762187786427882,1.4486302247908562,0.7818021201413428,0.16306847201637786,1.8604243048540035,0.73767082590612,0.12917856444162157,,0.30597014925373134,,,,,,,,,,,,,,,,,,,
2013-06-11,176,745,-569,-50.4,-1.9335950711369605,-78.925,-1.6919706809754909,0.08538812785388128,17.0,24.2,0.0,0,0,0.0,0.0,0.0,-0.37505440162589065,1.0,0.0,0.0,1.3197082727127274,sideways,,48.0,1.0,1.0,0.0,0.0,0.17463750852314874,1.6552545749839038,0.8091872791519434,0.16632167147741816,1.98650839704832,0.755496137849079,0.13035823851431302,,0.33115671641791045,,,,,,,,,,,,,,,,,,,
2013-06-12,353,568,-215,-65.56,-0.5858537818984442,-78.455,-0.47190522363597287,0.23326810176125246,17.8,22.8,0.0,0,0,0.0,0.0,0.0,-0.37742835564913113,1.0,0.0,0.0,1.2596878657420651,sideways,,48.0,1.0,1.0,0.0,0.0,0.14351900840525397,0.6488779279125373,0.6263250883392226,0.16654987603990348,1.9717106026003615,0.7566844919786097,0.13049322800799398,,0.33488805970149255,,,,,,,,,,,,,,,,,,,
2013-06-13,212,710,-498,-85.9,-1.6619266935995647,-78.805,-1.4464214508620035,0.10684931506849316,14.214711729622268,19.4831013916501,0.0,0,0,0.0,0.0,0.0,-0.3791874870671943,0.9940357852882704,0.0,0.0,1.1932552316181955,sideways,,48.0,0.0,0.0,0.0,0.0,0.14331126165973374,0.6376392550146325,0.6236749116607774,0.16741083629277842,1.985352999228796,0.7602495543672014,0.13092312401257317,,0.34266169154228854,,,,,,,,,,,,,,,,,,,
2013-06-14,642,279,363,-74.7,1.7139116295763146,-74.48,1.508955711195968,0.8891715590345727,18.75,22.51984126984127,0.0,0,0,0.0,0.0,0.0,-0.3786454558384946,0.992063492063492,0.0,1.0,1.1322462623088336,uptrend,,48.4,-1.0,0.0,0.0,0.0,0.16355171324075943,1.2745129565298228,0.7659010600706714,0.17011966998479688,2.077130490925977,0.7730243612596553,0.13235128798338822,,0.3628731343283582,,,,,,,,,,,,,,,,,,,
2013-06-17,500,408,92,-60.7,0.6245298300496626,-72.14,0.5672427872776291,0.695368558382257,24.248496993987974,25.0501002004008,0.0,0,0,0.0,0.0,0.0,-0.381043345335757,1.002004008016032,0.0,1.0,1.0840305850817744,uptrend,,48.8,-1.0,0.0,0.0,0.0,0.1673904937155552,1.3819982911843527,0.7800353356890459,0.16569559038791415,1.8556591932276223,0.7522281639928698,0.13251234219930658,,0.3656716417910448,,,,,,,,,,,,,,,,,,,
2013-06-18,462,457,5,-59.96,0.2655237852722542,-72.4,0.26756883244401913,0.5442270058708415,24.726911618669316,24.726911618669316,0.0,0,0,0.0,0.0,0.0,-0.381043345335757,0.893743793445879,0.0,1.0,1.0493566686934575,uptrend,,49.2,-1.0,0.0,0.0,0.0,0.16715604107111146,1.359712313533697,0.7791519434628975,0.16613915546741867,1.8501999420127306,0.7540106951871658,0.13231641205299485,,0.361318407960199,,,,,,,,,,,,,,,,,,,
