Date,advances,declines,ad,ad_ma_50,ad_z_50,ad_ma_200,ad_z_200,ad_pct,pct_above_20dma,pct_above_50dma,pct_above_200dma,new_highs,new_lows,nh_pct,nl_pct,nhnl_net,nhnl_z,pct_high_volatility,nifty50_price_above_50,nifty50_price_above_200,nifty50_dma200_slope_pct,nifty50_trend_bias,nifty50_dist_200_z,nifty50_persistence_200,nifty50_hh_ll_ratio,nifty50_ad_divergence,nifty50_nhnl_divergence,nifty50_dma_rollover,nifty50_vol_20,nifty50_vol_20_z,nifty50_vol_20_pct,nifty50_vol_50,nifty50_vol_50_z,nifty50_vol_50_pct,nifty50_vol_200,nifty50_vol_200_z,nifty50_vol_200_pct,nifty_total_price_above_50,nifty_total_price_above_200,nifty_total_dma200_slope_pct,nifty_total_trend_bias,nifty_total_dist_200_z,nifty_total_persistence_200,nifty_total_hh_ll_ratio,nifty_total_ad_divergence,nifty_total_nhnl_divergence,nifty_total_dma_rollover,nifty_total_vol_20,nifty_total_vol_20_z,nifty_total_vol_20_pct,nifty_total_vol_50,nifty_total_vol_50_z,nifty_total_vol_50_pct,nifty_total_vol_200,nifty_total_vol_200_z,nifty_total_vol_200_pct
2025-07-08,1181,1477,-296,10.94,-0.3490970260780223,-133.005,-0.14958488490098917,0.18554279749478078,51.34057971014493,63.33333333333333,39.528985507246375,35,19,1.2681159420289856,0.6884057971014492,0.5797101449275364,0.0492262858682918,15.942028985507244,1.0,1.0,0.041617932204385255,uptrend,1.0058255699423253,66.4,8.0,1.0,0.0,0.0,0.09712438801780858,-1.1636796554822182,0.23033873343151692,0.1317203177106365,-0.32992880036954086,0.49806835066864785,0.13929170960182635,-0.4299680538307919,0.4600311041990669,1.0,1.0,-0.18589612978423542,sideways,0.8386100488488843,65.2,9.0,1.0,0.0,0.0,0.09592384689200696,-1.4885210688259882,0.299412915851272,0.13090056966302707,-1.140027931280529,0.5262096774193549,0.15672317122326188,-0.2727138747043634,0.7125890736342043
2025-07-09,1311,1365,-54,14.74,-0.07824471596875616,-128.29,0.06828562049100502,0.41877609603340293,53.422672944585294,63.419051068453456,40.38391886997464,35,14,1.267656646142702,0.5070626584570808,0.7605939876856211,0.08941572422998677,15.03078594712061,1.0,1.0,0.035954050940878446,uptrend,0.9789214004856405,66.4,8.0,0.0,0.0,0.0,0.09753528022626824,-1.1538660670053567,0.23446244477172312,0.13186082265131654,-0.32649756685109754,0.500445765230312,0.13929495226686156,-0.4278504951932836,0.4609642301710731,1.0,1.0,-0.19302034517810762,sideways,0.8463811462625146,65.2,9.0,0.0,0.0,0.0,0.09596889614426689,-1.4934004810237373,0.30039138943248533,0.13094447545582846,-1.139308998785324,0.5272177419354839,0.15668828971536633,-0.2816358718794579,0.7090261282660333
2025-07-10,1210,1464,-254,41.12,-0.34753108760601126,-123.655,-0.12008996413356482,0.20818110647181629,54.38723712835388,63.63306744017404,40.681653372008704,34,16,1.2327773749093547,0.580130529369108,0.6526468455402467,0.0763047232793652,14.720812182741117,1.0,1.0,0.033103982286575295,uptrend,0.8880527082709878,66.4,8.0,0.0,0.0,0.0,0.091328305727259,-1.338326769697763,0.16759941089837996,0.1324589771935908,-0.3016143754244777,0.5040118870728083,0.1393875945409237,-0.4108292231760893,0.4618973561430793,1.0,1.0,-0.19248557203541683,sideways,0.8041141699785571,65.2,9.0,0.0,0.0,0.0,0.08406670992569143,-1.8082577452491975,0.18786692759295498,0.13073891777962784,-1.1496919306362174,0.5252016129032258,0.15671260458495953,-0.28043405100636914,0.7102137767220903
2025-07-11,867,1808,-941,32.42,-1.1357116840815795,-132.255,-0.7453729207928627,0.02850991649269311,46.652110625909756,59.243085880640464,39.91994177583697,48,14,1.7467248908296942,0.5094614264919942,1.2372634643376998,0.1914969495057599,14.15574963609898,1.0,1.0,0.021964953447373148,uptrend,0.7289827372420294,66.4,8.0,1.0,0.0,0.0,0.09289278596757068,-1.2882661056101208,0.18438880706921945,0.13397649867546646,-0.2324432086290778,0.5200594353640416,0.138696883100568,-0.523885281424973,0.4506998444790047,1.0,1.0,-0.20115606701845978,sideways,0.6895861627284717,65.2,10.0,1.0,0.0,0.0,0.08645333582131527,-1.7406231707225783,0.20645792563600782,0.13229325766059752,-1.0803541993755987,0.5413306451612904,0.1561255567750099,-0.3831863006126043,0.6947743467933492
2025-07-14,1254,1413,-159,8.02,-0.19777502841543812,-135.995,-0.02122603535352874,0.2772703549060543,46.203438395415475,56.33954154727794,39.25501432664756,57,19,2.041547277936963,0.680515759312321,1.3610315186246418,0.2210279033051973,14.720630372492838,1.0,1.0,0.00550818063442815,uptrend,0.6932763795317202,66.4,8.0,1.0,0.0,0.0,0.08824244282826353,-1.420715315844479,0.14580265095729014,0.13385610269072695,-0.24079389801427895,0.5191679049034176,0.1385688876802193,-0.5438094010913106,0.44914463452566095,1.0,1.0,-0.21448771603180816,sideways,0.7315166204536439,65.2,11.0,1.0,0.0,0.0,0.08220439795303201,-1.844832580458865,0.16731898238747553,0.13115014683555667,-1.130970839409563,0.530241935483871,0.1558816368218672,-0.42796276569653413,0.6817102137767221
2025-07-15,1767,912,855,63.12,0.9818911878743773,-130.615,0.9075187390074423,0.9807541753653445,54.47007930785869,60.63446286950253,41.70872386445566,51,13,1.8385003604902668,0.4686373467916366,1.3698630136986303,0.22527166749788183,14.599855803893295,1.0,1.0,-0.0065392411932596595,sideways,0.8216471694308652,66.4,8.0,0.0,0.0,0.0,0.08813093452723672,-1.4185521126396268,0.14374079528718703,0.13385841585210698,-0.24356199510717944,0.5194650817236256,0.13866837606537763,-0.5259309683483977,0.4503888024883359,1.0,1.0,-0.2211668661344368,sideways,0.8625420319569239,65.2,12.0,0.0,0.0,0.0,0.08184019427382044,-1.8463616371324043,0.16144814090019569,0.12851357129171664,-1.2470687611475189,0.5040322580645161,0.15604872895036098,-0.4023525715609812,0.6888361045130641
2025-07-16,1543,1146,397,61.16,0.4169170294896846,-125.87,0.48134109580471957,0.9027922755741128,57.54068716094033,62.53164556962025,43.32730560578662,50,8,1.8083182640144666,0.28933092224231466,1.518987341772152,0.2576172542628375,14.719710669077756,1.0,1.0,-0.017997047487539053,sideways,0.8641340282496621,66.4,8.0,1.0,0.0,0.0,0.08769460083817313,-1.4257749950689473,0.13932253313696613,0.13384685984825848,-0.24701827322246694,0.5185735512630015,0.13864028039665294,-0.529427970943183,0.4500777604976672,1.0,1.0,-0.2253716267615391,sideways,0.9055397144504314,65.2,12.0,1.0,0.0,0.0,0.08078384434452503,-1.8652287759529154,0.14579256360078277,0.12816534820362624,-1.2604699169236326,0.49899193548387094,0.15605434669270496,-0.40458735679761443,0.6900237529691211
2025-07-17,1274,1415,-141,80.5,-0.28097973272140947,-124.135,-0.015529848214299381,0.29566805845511485,55.784526391901665,61.641359363702094,44.46854663774403,52,8,1.8799710773680405,0.28922631959508316,1.5907447577729572,0.27428323568933827,13.702096890817064,1.0,1.0,-0.03348728054906047,sideways,0.8023828365840584,66.4,8.0,0.0,0.0,0.0,0.08919922276704512,-1.3758909078017163,0.15228276877761412,0.13346745462742457,-0.2676475173726055,0.5153046062407132,0.13839179662773393,-0.5693502741164741,0.44727838258164854,1.0,1.0,-0.22933204965455145,sideways,0.8948212161871586,65.2,13.0,0.0,0.0,0.0,0.07507936100479091,-2.0010284216560645,0.08512720156555773,0.12559632178467903,-1.3713388368241963,0.4627016129032258,0.15596586757621086,-0.42296227179563134,0.6876484560570071
2025-07-18,945,1743,-798,85.04,-1.128560222031293,-127.865,-0.6164967524635356,0.04279749478079332,49.5849873691808,57.27174305304944,42.908697221219775,43,5,1.5517863587152654,0.18044027426921688,1.3713460844460486,0.23705552803249474,13.821725009022016,0.0,1.0,-0.056061718185018705,sideways,0.6973990273478395,66.4,8.0,0.0,0.0,0.0,0.07940743971774165,-1.6518093474016728,0.07393225331369661,0.13159817408518154,-0.35916984510863786,0.4971768202080238,0.1385229944314463,-0.5458662994469732,0.44821150855365477,1.0,1.0,-0.23999870358134556,sideways,0.8095680713747319,65.2,13.0,0.0,0.0,0.0,0.06929028745211989,-2.1338434269772684,0.04500978473581213,0.12515700088323806,-1.3865974781560229,0.4526209677419355,0.15610859108701508,-0.401484553959037,0.6923990498812351
2025-07-21,1251,1437,-186,35.9,-0.3095885446708202,-125.71,-0.05549228061259191,0.2528705636743215,46.93218514531755,55.25654825977754,42.84176533907427,55,13,1.973448152134912,0.46645138141370646,1.5069967707212055,0.2669517619832613,13.598851811984211,1.0,1.0,-0.06464942450113975,sideways,0.8425752643254274,66.4,8.0,1.0,0.0,0.0,0.07881430399079015,-1.6528196488931897,0.06921944035346098,0.10184875431620732,-1.7618312850918019,0.20891530460624072,0.13774630467857968,-0.6722548054830519,0.4416796267496112,1.0,1.0,-0.24196054205517514,sideways,0.9083781929054531,65.2,13.0,1.0,0.0,0.0,0.06991640732934185,-2.0972293188811015,0.049902152641878667,0.09323770591094849,-2.7570211961971802,0.17137096774193547,0.15582052091877266,-0.4538282260183272,0.6781472684085511
